0
FTV
DHR
CS.PA.PA
ALGN
A
TKO
ODFL
XOM
TECH
JPM
MO
MC.PA.PA
KDP
TSCO
GLEN.L
HIK.L
ICE
DG
IFF
GAW.L
TXT
BAS.DE.DE
WTW
NWS
SOLV
WAB
SNA
PHM
ACGL
KVUE
JNPR
MDT
BSX
COO
LGEN.L
AME
MAR
MMM
HIG
CTEC.L
CZR
SPGI
FPE3.DE
PG
GEHC
CHD
XYL
HEN3.DE.DE
SVT.L
ERF.PA.PA
DASH
FIVE
WY
BTRW.L
HBAN
USB
MRK
APA
PAYC
DCC.L
VTR
DIS
ORA.PA.PA
AV.L
TEL
BATS.L
DOW
IMI.L
AMT
ROK
O
TRMB
FANG
PODD
NI
DTE.DE.DE
STX
AAL.L
AKAM
AMCR
ALV.DE.DE
PRU.L
GLE.PA.PA
BG
TLX.DE
BRO
LYV
CMS
OTIS
CAR
EXPD
NDAQ
CMCSA
BNR.DE.DE
WDC
CL
FITB
HII
ANTO.L
DHI
URI
TUI1.DE
CBRE
AXON
MAA
GXI.DE
FTNT
GDDY
DHL.DE.DE
CSGP
IEX
CAT
GM
REL.L
MHK
INTU
CINF
NDSN
RNO.PA.PA
BNZL.L
CARR
EL.PA.PA
WDAY
GLW
TMV.DE
PLD
SGO.PA.PA
ALB
FDX
CI
EG
ORCL
PSA
BOSS.DE
STM.DE
BR
FRT
LR.PA.PA
IHG.L
VIE.PA.PA
MAS
DGX
KMX
PTC
TJX
NTAP
NG.L
HON
IRM
HSX.L
IPG
NXT.L
G24.DE
IQV
CRM
RKT.L
SAP.DE.DE
LW
AMZN
HFG.DE
VICI
TSN
HPE
PYPL
ACN
TTE.PA.PA
RMV.L
INVH
EOAN.DE.DE
TDG
AIR.PA.DE
EXE
NTRS
V
SMIN.L
SAF.PA.PA
GPC
HUBB
RVTY
WELL
EXPN.L
BN.PA.PA
W
MTX.DE.DE
STAN.L
CTRA
VNOM
BAYN.DE.DE
STLAP.PA.PA
GDS
DE
BEN
BFSA.DE
ITRK.L
PNC
STZ
G1A.DE
PSON.L
LNT
MUV2.DE.DE
AMGN
UTG.L
ADSK
MDLZ
GWW
LHX
REG
LEG.DE
RMS.PA.PA
NOG
ATO
CTVA
ON
DELL
ROL
CTAS
RCL
ROST
HUM
EL
SPG
LUV
EZJ.L
PH
NDA.DE
CMI
DVN
IT
GIS
JD.L
SHEL.L
MRK.DE.DE
CE
TSCO.L
SAN.PA.PA
MKS.L
PCG
EXC
IP
QCOM
MNST
PFG
VLTO
RIO.L
SRE
RL
AIG
SJM
CEG
MOS
SDF.DE
MKC
DG.PA.PA
DTG.DE.DE
SRT3.DE.DE
AFX.DE
EDV.L
KMB
TW.L
NOW
AC.PA.PA
PARA
BKR
WCH.DE
STJ.L
ETN
EMR
ORLY
LLY
SBAC
TSLA
TIGO
UDR
GBF.DE
VOW3.DE.DE
WFRD
LEN
F
EA
LRCX
AWK
TRV
SIE.DE.DE
BDX
ARE
